instance_id,project,target_stable_branch,change_id,master_patch_url,stable_backport_url,same_files_modified,file_overlap_ratio,files_only_in_master,files_only_in_stable,master_lines_added,master_lines_removed,stable_lines_added,stable_lines_removed,diff_size_ratio,days_to_backport,only_iac,has_explicit_tests,master_patchsets,master_human_messages,master_human_reviewers,master_review_duration_days,master_review_hours,master_ci_failures,master_human_negative_votes,master_api_status,bp_patchsets,bp_human_messages,bp_human_reviewers,bp_review_duration_days,bp_review_hours,bp_ci_failures,bp_human_negative_votes,bp_api_status,backport_type
openstack-openstack-ansible-galera_server-stable-2023.1-Ib15c60d,openstack/openstack-ansible-galera_server,stable/2023.1,Ib15c60dc577b376b1f761c4266eea89c4cb0be9f,https://review.opendev.org/c/openstack/openstack-ansible-galera_server/+/894530,https://review.opendev.org/c/openstack/openstack-ansible-galera_server/+/896405,True,1.0,,,11,0,11,0,1.0,6,False,False,3,4,6,10.32,247.78,0,1,ok,1,3,3,2.91,69.73,1,0,ok,Clean
openstack-openstack-ansible-os_neutron-stable-zed-Ia5b4472,openstack/openstack-ansible-os_neutron,stable/zed,Ia5b44729858dd9f742f1094f46e3cde1ceb70495,https://review.opendev.org/c/openstack/openstack-ansible-os_neutron/+/893856,https://review.opendev.org/c/openstack/openstack-ansible-os_neutron/+/896711,True,1.0,,,1,1,1,1,1.0,25,True,False,1,3,2,9.61,230.6,2,0,ok,2,3,2,13.69,328.59,8,0,ok,Clean
openstack-openstack-ansible-os_neutron-stable-yoga-Ia5b4472,openstack/openstack-ansible-os_neutron,stable/yoga,Ia5b44729858dd9f742f1094f46e3cde1ceb70495,https://review.opendev.org/c/openstack/openstack-ansible-os_neutron/+/893856,https://review.opendev.org/c/openstack/openstack-ansible-os_neutron/+/896712,True,1.0,,,1,1,1,1,1.0,20,True,False,1,3,2,9.61,230.6,2,0,ok,2,1,1,8.54,204.87,6,0,ok,Clean
openstack-openstack-ansible-os_neutron-stable-2023.1-Ia5b4472,openstack/openstack-ansible-os_neutron,stable/2023.1,Ia5b44729858dd9f742f1094f46e3cde1ceb70495,https://review.opendev.org/c/openstack/openstack-ansible-os_neutron/+/893856,https://review.opendev.org/c/openstack/openstack-ansible-os_neutron/+/896710,True,1.0,,,1,1,1,1,1.0,13,True,False,1,3,2,9.61,230.6,2,0,ok,1,1,1,1.09,26.12,0,0,ok,Clean
openstack-kolla-ansible-stable-yoga-I78967c4,openstack/kolla-ansible,stable/yoga,I78967c4499269578ac921ad9a553946b65e1293f,https://review.opendev.org/c/openstack/kolla-ansible/+/895132,https://review.opendev.org/c/openstack/kolla-ansible/+/895024,False,0.6,zuul.d/jobs.yaml|zuul.d/project.yaml,,25,14,6,13,0.4872,0,False,True,7,8,6,1.15,27.72,2,0,ok,5,7,6,1.42,34.15,3,0,ok,Modified
openstack-kolla-ansible-stable-zed-I78967c4,openstack/kolla-ansible,stable/zed,I78967c4499269578ac921ad9a553946b65e1293f,https://review.opendev.org/c/openstack/kolla-ansible/+/895132,https://review.opendev.org/c/openstack/kolla-ansible/+/895037,False,0.6,zuul.d/jobs.yaml|zuul.d/project.yaml,,25,14,6,13,0.4872,0,False,True,7,8,6,1.15,27.72,2,0,ok,5,5,4,0.27,6.51,7,0,ok,Modified
openstack-kolla-ansible-stable-2023.1-I78967c4,openstack/kolla-ansible,stable/2023.1,I78967c4499269578ac921ad9a553946b65e1293f,https://review.opendev.org/c/openstack/kolla-ansible/+/895132,https://review.opendev.org/c/openstack/kolla-ansible/+/895036,True,1.0,,,25,14,25,14,1.0,0,False,True,7,8,6,1.15,27.72,2,0,ok,1,4,4,0.27,6.48,1,0,ok,Clean
openstack-bifrost-stable-2023.1-I7c2ba2b,openstack/bifrost,stable/2023.1,I7c2ba2b263dd84641674b60aed8971b129aa846f,https://review.opendev.org/c/openstack/bifrost/+/893195,https://review.opendev.org/c/openstack/bifrost/+/893949,True,1.0,,,186,0,186,0,1.0,26,False,False,14,33,6,7.23,173.54,9,11,ok,2,6,3,26.27,630.55,2,0,ok,Clean
openstack-bifrost-stable-zed-I7c2ba2b,openstack/bifrost,stable/zed,I7c2ba2b263dd84641674b60aed8971b129aa846f,https://review.opendev.org/c/openstack/bifrost/+/893195,https://review.opendev.org/c/openstack/bifrost/+/893950,True,1.0,,,186,0,186,0,1.0,26,False,False,14,33,6,7.23,173.54,9,11,ok,2,6,3,26.27,630.55,2,0,ok,Clean
openstack-kolla-ansible-stable-zed-Ia025283,openstack/kolla-ansible,stable/zed,Ia025283e38ea7c3bd37c7a70d03f6b46c68f4456,https://review.opendev.org/c/openstack/kolla-ansible/+/868929,https://review.opendev.org/c/openstack/kolla-ansible/+/893771,True,1.0,,,343,2,343,2,1.0,0,False,False,46,56,6,249.78,5994.8,48,4,ok,1,4,4,0.81,19.38,1,0,ok,Clean
